"CityId","CountryID","RegionID","City","Latitude","Longitude","TimeZone","DmaId","Code"
31423,254,123,"Marshall","61.9935","-161.712","-09:00",,"MARS"
41552,254,143,"Yarmouth Port","41.7045","-70.2302","-05:00",506,"YPOR"
41991,55,1328,"Lubumbashi","-11.667","27.467","+02:00",,"LUBU"
31132,254,154,"Maine","42.2117","-76.0557","-05:00",502,"MAIN"
32299,254,170,"Mindoro","44.0265","-91.0483","-06:00",702,"MIND"
6934,254,125,"Crossett","33.1917","-91.9836","-06:00",628,"CROS"
14792,254,135,"Canton","40.5579","-89.9752","-06:00",675,"CANT"
19587,254,157,"Ansonia","40.2169","-84.6599","-05:00",542,"ANSO"
19350,254,164,"Allred","36.3878","-85.1936","-06:00",659,"ALLR"
38295,254,135,"Standard","41.2558","-89.1775","-06:00",675,"STAD"
4299,122,2344,"Oiso","35.3","139.317","+09:00",,"OISO"
7335,254,126,"Oakland","37.7993","-122.24","-08:00",807,"OAKL"
40800,254,160,"Westfield","41.9252","-77.5198","-05:00",565,"WESF"
20981,254,141,"Blue Hill Falls","44.3828","-68.5955","-05:00",537,"BHFA"
35859,254,143,"Readville","42.3586","-71.0605","-05:00",506,"REAV"
39851,254,136,"Velpen","38.376","-87.1036","-05:00",649,"VELP"
4444,159,71,"Celaya","16.917","-93.117","-06:00",,"CELA"
10905,254,164,"Loudon","35.7114","-84.3653","-05:00",557,"LOUD"
21019,254,163,"Blunt","44.4586","-99.8388","-06:00",725,"BLUN"
37350,254,158,"Seiling","36.0756","-98.8177","-06:00",650,"SEIL"
35490,254,144,"Presque Isle","45.2881","-83.4563","-05:00",540,"PISL"
25151,254,165,"Elgin","30.2988","-97.3874","-06:00",635,"ELGI"
25452,254,155,"Erwin","35.3494","-78.7009","-05:00",560,"ERWI"
11977,254,131,"Pomona Park","29.5068","-81.6304","-05:00",561,"PPAK"
14363,254,159,"Vernonia","45.8715","-123.193","-08:00",820,"VERN"
37528,254,144,"Shelbyville","42.5914","-85.5913","-05:00",563,"SHEY"
40770,254,160,"West Willow","39.9726","-76.2885","-05:00",566,"WWIL"
22253,254,124,"Cashion","33.4284","-112.295","-07:00",753,"CASH"
34862,254,169,"Peytona","38.1255","-81.7102","-05:00",564,"PEYT"
34869,254,147,"Philadelphia","39.8355","-91.762","-06:00",717,"PHIA"
11632,254,170,"West Bend","43.4201","-88.1766","-06:00",617,"WBEN"
15206,122,2329,"Nagareyama","35.85","139.9","+09:00",,"NAGA"
17762,254,140,"Delhi","32.4445","-91.5289","-06:00",628,"DELH"
18300,178,4729,"Whakatane","-37.983","177","+12:00",,"WHAK"
20211,254,151,"Barrington","43.2039","-71.0483","-05:00",506,"BARR"
3497,234,4027,"Liestal","47.467","7.733","+01:00",,"LIES"
5171,53,1411,"Riohacha","11.55","-72.917","-05:00",,"RIOH"
19405,254,126,"Altaville","38.0926","-120.574","-08:00",862,"ALTV"
39754,254,153,"Vallecitos","36.6959","-106.135","-07:00",790,"VALL"
16419,119,2253,"Bottegone","43.891","10.9605","+01:00",,"BOTT"
22609,254,158,"Chelsea","36.5486","-95.4793","-06:00",671,"CHEL"
39503,254,143,"Turners Falls","42.605","-72.4997","-05:00",543,"TFAL"
12142,254,154,"Johnstown","43.0176","-74.3982","-05:00",532,"JOHN"
35851,254,145,"Reading","43.7177","-95.7533","-06:00",725,"READ"
8972,254,142,"Suitland","38.8439","-76.9232","-05:00",511,"SUIT"
27398,254,169,"Griffithsville","38.2451","-82.0036","-05:00",564,"GRIF"
38876,254,139,"Talbert","37.3936","-83.4427","-05:00",541,"TALB"
15803,254,154,"Lancaster","42.9085","-78.6272","-05:00",514,"LANC"
36483,254,146,"Rose Hill","32.1345","-89.014","-06:00",710,"RHIL"
13855,99,636,"Hagatna","0","0","+10:00",,"HAGA"
